row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Mavert00557.mzXML Peak area,Mavert00558.mzXML Peak area,Mavert00560.mzXML Peak area,Mavert00556.mzXML Peak area,Mavert00559.mzXML Peak area,Mavert00567.mzXML Peak area,Mavert00561.mzXML Peak area,Mavert00566.mzXML Peak area,Mavert00568.mzXML Peak area,
2,200.10293947095303,1.1669999,,,,,,,,,,,0,0,520.96765,0,194.71649,0,824.10626,0,0,
3,268.10406144898974,1.1877944,,,,,,,,,,,0,91.8164,1549.6992,0,872.66187,0,1839.9409,92.71474,22.490227,
4,140.03410204588465,1.2203528,,,,,,,,,,,0,0,1653.661,0,1712.2303,753.6302,1541.3962,839.32983,754.12286,
6,255.0864624930136,1.3463111,,,,,,,,,,,0,0,784.5768,0,694.2428,380.95084,1334.9227,555.7364,445.57288,
8,144.0476605298171,1.4113426,,,,,,,,,,,203.76877,360.2992,1551.0436,181.8766,1396.7223,1581.4224,1656.9929,1545.9296,1589.4523,
9,158.0270257491729,1.6438334,,,,,,,,,,,1547.3285,1944.4769,1004.1871,1787.0333,930.05774,2355.8237,1122.2122,2191.364,2345.5012,
11,171.0651692833769,1.7640554,,,,,,,,,,,577.0923,653.914,0,556.5441,0,856.29004,0,698.66986,902.3671,
15,243.08670304745405,1.8273916,,,,35,,,,,,,782.17065,786.6106,0,512.31976,0,3210.2747,0,2761.0925,3191.434,
16,363.05248684770294,1.8273916,,,,35,,,,,,,1075.0038,835.8225,0,715.97675,0,3476.398,0,2704.7808,3230.115,
17,155.07018989011928,1.8296305,,,,35,,,,,,,2763.3257,2562.7651,0,2327.2466,0,7286.5913,0,6111.2974,7395.6294,
18,137.05963865510333,1.8318639,,,,35,,,,,,,7872.511,7784.205,0,6928.7666,0,15426.341,0,13470.531,15341.441,
19,251.07550452846138,1.8318639,,,,35,,,,,,,4102.5063,4318.6445,0,3408.5283,0,13475.084,0,11130.599,13462.734,
20,324.14526591808647,1.8923249,,,,,,,,,,,0,0,1327.8424,0,1177.9153,0,1851.9795,199.83556,0,
21,127.03876513803387,1.9900761,,,,,,,,,,,277.69113,347.93417,1876.1946,264.10883,1722.8938,2053.94,1992.7992,1879.7319,2108.5017,
22,322.12973957762244,2.0216196,,,,,,,,,,,0,0,16955.328,0,14686.772,5702.1665,18666.645,6292.959,5401.6045,
23,249.07346671368649,2.1019862,,,,,,,,,,,0,0,18041.531,0,14231.142,16097.003,21122.414,13963.807,15385.611,
24,139.0753041522573,2.1243443,,,,,,,,,,,0,0,0,0,0,5034.74,0,5086.3174,5090.092,
25,179.06798291921572,2.1243443,,,,,,,,,,,0,0,0,0,0,1537.2506,0,1627.7002,1794.0289,
26,211.06016439974178,2.1488833,,,,,,,,,,,0,0,1082.0465,0,1133.0098,971.72266,1168.6404,1079.6449,802.70123,
27,141.05456389292488,2.2195923,,,,,,,,,,,277.7131,478.52872,2316.9978,467.79065,2282.593,3474.1196,2579.1982,3206.0876,3319.615,
28,268.1444861713556,2.24075,,,,,,,,,,,0,0,1069.8031,0,704.9644,0,1314.7991,0,0,
29,268.1443759276051,2.3806555,,,,,,,,,,,0,0,1030.2983,0,694.78687,0,1319.3978,0,0,
30,326.1862308485219,2.4036028,,,,,,,,,,,0,0,2495.9617,0,2103.0366,590.03845,2853.5583,582.1939,519.07947,
31,257.1649314200503,2.6120777,,,,,,,,,,,0,0,5071.0303,0,4651.9336,2994.6243,5944.8486,3337.6118,2620.1045,
32,226.1227859109952,2.616575,,,,,,,,,,,0,0,1334.3486,0,1195.865,603.0337,1368.4053,818.8982,536.9637,
34,312.0866061365998,2.6546443,,,,,,,,,,,689.91003,977.8432,0,1164.8011,0,0,0,0,0,
39,277.0683476083862,2.7714446,,,,16,0,[M+Na]+,,3,41;42;39,254.07919,0,0,41372.543,0,37841.684,72001.32,50152.332,62625.984,66132.12,
38,531.1471323463417,2.7714336,,,,16,,,,,,,0,0,1969.0594,0,1312.4271,7074.016,2911.4995,5528.8247,6088.734,
41,255.08648256384038,2.7984362,,,,16,0,[M+H]+,,2,39;41,254.07919,0,0,41450.152,0,39195.02,59598.26,47832.812,54032.965,56079.676,
42,237.07594262130047,2.8006752,,,,16,0,[M-H2O+H]+,,2,39;42,254.07919,0,0,36253.973,0,34440.086,50060.277,40877.2,46259.707,47976.305,
43,195.0652639500257,2.8358443,,,,16,,,,,,,0,0,3836.859,0,2533.3582,5990.7686,4208.5166,5368.775,5437.821,
45,208.11222042438305,2.879464,,,,,,,,,,,0,0,898.12683,0,739.685,508.29764,928.7604,596.8799,287.93814,
46,257.1648852084078,2.879464,,,,,,,,,,,0,0,3784.4333,0,2890.9673,1889.4873,3540.9277,2245.7034,1461.7588,
47,275.0550500561441,2.9963253,,,,,,,,,,,0,0,332.67355,0,876.21857,1597.0603,622.67487,1442.1321,1696.2346,
48,403.06600757248617,2.9963253,,,,,,,,,,,0,0,713.856,0,1698.7441,2999.5337,1062.936,2545.9668,2855.3948,
49,255.149344856369,3.0052557,,,,,,,,,,,0,0,6937.32,0,4998.7866,3787.9263,6430.181,4485.6953,3366.4463,
50,231.0629155045167,3.0754776,,,,,,,,,,,1062.4404,1256.9631,0,1265.3846,0,1488.6017,0,1348.5125,1400.3906,
51,197.11743269438648,3.2011888,,,,21,2,[M-H2O+H]+,,1,52,214.12078,0,0,0,0,0,2930.9553,0,2869.3955,3293.3674,
52,237.11006582354239,3.2056665,,,,21,2,[M+Na]+,,2,52;51,214.12078,0,0,0,0,0,9925.488,0,9386.135,10030.947,
56,334.1262482916288,3.2865555,,,,32,,,,,,,0,0,0,0,0,2280.1367,0,1963.5482,2052.154,
58,309.1335845811248,3.2910557,,,,32,3,[M-H2O+H]+,,2,60;58,326.13681,0,0,0,0,0,5620.5283,0,5194.6094,5565.882,
59,327.14409379569366,3.2910557,,,,32,3,[M+H]+,,2,60;59,326.13681,0,0,0,0,0,4088.2131,0,3576.5474,4099.068,
60,349.1259429095268,3.2910557,,,,32,3,[M+Na]+,,3,60;58;59,326.13681,0,0,0,0,0,4398.8066,0,3916.1267,4215.632,
63,687.2324388657577,3.3355722,,,,,,,,,,,0,0,920.2527,0,646.6624,318.92242,1534.192,288.37445,301.6353,
66,253.03444190704113,3.384661,,,,,,,,,,,0,0,1282.3379,0,1394.9584,1016.64404,1476.3007,1376.9337,943.0273,
65,251.0890803045834,3.400389,,,,,,,,,,,0,0,13698.06,0,9277.665,31159.574,36749.15,27207.771,29516.645,
67,674.2962319788058,3.4130723,,,,,,,,,,,3498.697,3123.599,0,3212.0781,0,511.99713,0,474.1988,594.1742,
68,241.17005040172197,3.415576,,,,29,,,,,,,6822.124,8420.693,200095.4,8588.271,186497.5,165324.72,196066.75,179618.67,151402.11,
70,242.17335416785025,3.4211223,,,,29,,,,,,,997.0247,1329.9128,50428.266,1368.552,45643.59,35279.94,48976.17,40565.14,29374.338,
72,167.07031766230318,3.4739945,,,,,,,,,,,298.66885,564.39435,0,502.84464,0,0,0,0,0,
75,193.08605132809373,3.4872944,,,,19,7,[M-H2O+H]+,,2,96;95,210.08926,0,0,28560.215,0,26185.324,29211.766,32726.951,25412.207,27277.31,
77,327.1258700128128,3.4895222,,,,19,,,,,,,0,0,3426.679,0,2759.6924,2695.2747,4262.781,2142.438,2559.8623,
78,335.1144099664105,3.489528,,,,19,,,,,,,0,0,5417.2344,0,3055.999,4484.969,6440.0796,3762.5994,4471.9956,
84,211.09647123171942,3.491781,,,,19,7,[M+H]+,,3,96;84;95,210.08926,0,0,377706.62,0,339881.97,375156.1,437645.25,332006.38,355636.72,
82,440.15951078211907,3.4917943,,,,,,,,,,,0,0,2495.8174,0,1967.752,1718.1985,3356.936,1101.2258,1541.8092,
85,687.2323965679398,3.4939137,,,,19,,,,,,,0,0,2925.186,0,2218.564,2195.1968,3808.4697,1530.7866,2007.4935,
86,175.07542514480596,3.4940252,,,,19,,,,,,,0,0,5826.452,0,5257.003,5908.2324,7020.8813,4846.291,5424.1147,
88,273.07126261584773,3.4962056,,,,19,,,,,,,0,0,7032.192,0,6387.2085,2894.355,8103.7275,2933.9204,6054.5864,
89,477.14323589858554,3.4984615,,,,19,,,,,,,0,0,7310.0,0,6519.3945,5256.198,8658.819,4404.386,4929.014,
83,251.08907272877946,3.4985085,,,,19,,,,,,,0,0,32064.773,0,28667.936,14071.504,15006.119,11812.03,13422.803,
95,443.16747102572754,3.5051415,,,,19,7,[2M+Na]+,,3,84;75;95,210.08926,0,0,48716.613,0,44492.758,46395.87,55848.32,40767.0,44406.46,
96,233.07858409982012,3.511864,,,,19,7,[M+Na]+,,3,96;84;75,210.08926,0,0,391916.2,0,361200.72,387384.06,441282.06,347128.7,372402.34,
98,389.1245037067806,3.5176861,,,,,,,,,,,2884.8286,3580.8022,0,3570.7007,0,2126.1611,0,1913.7198,2228.6125,
100,311.1026594399421,3.547589,,,,,,,,,,,0,0,932.3937,0,1576.8676,1286.217,1132.0768,1366.3453,836.6755,
101,347.11018409625467,3.6467056,,,,22,8,[M+Na]+,,3,102;103;101,324.12098,0,0,0,0,0,2891.5933,0,2765.8608,2939.8572,
102,307.11771432747213,3.6512,,,,22,8,[M-H2O+H]+,,2,102;101,324.12098,0,0,0,0,0,6964.8164,0,6613.7905,7007.9575,
103,325.1282575425886,3.6512334,,,,22,8,[M+H]+,,1,101,324.12098,0,0,0,0,0,2134.3726,0,2193.6165,2222.22,
106,383.1701567829564,3.687072,,,,46,9,[M+H]+,,2,104;106,382.16296,0,0,0,0,0,7748.0894,0,6905.704,7831.5615,
104,405.1522579085393,3.687072,,,,46,9,[M+Na]+,,2,104;106,382.16296,0,0,0,0,0,3410.1777,0,2932.2625,2025.1917,
108,209.08093372675148,3.7314835,,,,,,,,,,,0,0,4849.6914,0,5555.875,14506.063,6597.7075,13460.683,13326.261,
109,354.2176906749032,3.7333,,,,,,,,,,,0,0,0,0,1186.807,0,0,0,0,
107,425.21715283741923,3.7514775,,,,37,10,[M+H]+,,2,112;107,424.20987,0,0,0,0,0,2929.1475,0,2955.252,1923.7407,
112,447.1990774951582,3.7559721,,,,37,10,[M+Na]+,,2,112;107,424.20987,0,0,0,0,0,3909.0613,0,6488.8867,6520.6724,
113,325.2273199531998,3.7734945,,,,,,,,,,,0,0,4367.194,0,3755.3372,3479.9714,4514.3633,4452.426,2829.9583,
114,292.1180605756498,3.7829666,,,,50,,,,,,,0,0,0,0,0,2667.6406,0,2414.351,2606.0842,
115,310.1286362459001,3.7829666,,,,50,,,,,,,0,0,0,0,0,2059.077,0,1954.5159,2042.7806,
116,395.1114867218583,3.8518143,,,,45,11,[M+Na]+,,2,116;117,372.12221,3579.5774,4159.861,0,4271.9487,0,2364.4043,0,2305.043,2812.0403,
117,373.12941933732833,3.8540528,,,,45,11,[M+H]+,,2,116;117,372.12221,31939.967,40262.066,0,39997.285,0,28235.057,0,26766.791,30307.723,
118,407.20647182448965,3.8685277,,,,,,,,,,,0,0,0,0,0,1671.7686,0,1707.6525,1666.2135,
121,492.2239021861032,3.8903224,,,,,,,,,,,0,0,2642.2407,0,2807.7837,398.1628,1966.2059,394.50226,462.50732,
122,275.05509341221347,3.90505,,,,,,,,,,,0,0,8311.507,0,11202.607,17931.475,11374.133,12003.281,16138.696,
123,383.1601866435688,3.9651473,,,,20,,,,,,,0,0,1951.0767,0,1837.8744,1842.0446,2336.9412,1577.7651,1634.2274,
124,313.03175699309594,3.967394,,,,20,12,[M+Na]+,,2,124;125,290.04264,0,0,887.9607,0,1876.145,1203.0402,901.6668,1389.7255,1259.1493,
125,273.0394613519268,3.9696417,,,,20,12,[M-H2O+H]+,,1,124,290.04264,0,0,2004.0687,0,3930.0798,2640.3335,2002.3538,2412.8853,2222.664,
128,423.20143130659545,4.0196056,,,,38,13,[M+H]+,,2,129;128,422.19412,0,0,0,0,0,7793.1265,0,7978.3174,8099.218,
129,445.1832975879349,4.0196056,,,,38,13,[M+Na]+,,2,129;128,422.19412,0,0,0,0,0,22493.178,0,20891.564,22034.914,
132,393.1512889717624,4.030083,,,,47,14,[M+H]+,,1,130,392.14398,0,0,2450.5051,0,2163.7354,1865.5854,3037.3296,1514.7324,1415.4744,
130,415.13316610699644,4.030083,,,,47,14,[M+Na]+,,2,132;130,392.14398,0,0,1610.25,0,1535.7207,1135.3894,2016.4838,1055.0259,1066.5378,
133,179.07035782601747,4.083914,,,,,,,,,,,0,0,7631.967,0,6992.671,3606.6248,8624.394,3013.6504,3396.1702,
134,522.2486884787164,4.0882,,,,28,,,,,,,4920.2944,5500.366,0,5907.17,0,6026.2603,0,5677.4263,6173.6187,
135,361.12599254143765,4.091483,,,,28,15,[M+Na]+,,2,135;138,338.1367,0,0,0,0,0,4259.505,0,3954.116,4651.4087,
136,181.0860140854704,4.094908,,,,28,,,,,,,28041.309,39787.41,0,38226.555,0,6725.8086,0,5061.066,7233.9043,
138,339.143911056689,4.0959888,,,,28,15,[M+H]+,,2,135;138,338.1367,0,0,0,0,0,4297.5503,0,3638.752,3876.1682,
140,403.13680896190823,4.100489,,,,5,16,[M+Na]+,,3,141;142;140,380.14743,0,0,0,0,0,4170.6226,0,3491.8875,4332.544,
141,363.1440590200612,4.127439,,,,5,16,[M-H2O+H]+,,2,141;140,380.14743,0,0,0,0,0,4350.9487,0,3542.458,4419.991,
142,381.15463680630177,4.127439,,,,5,16,[M+H]+,,2,142;140,380.14743,0,0,0,0,0,8081.1724,0,6739.2334,7960.34,
143,280.19079486402404,4.1736608,,,,34,,,,,,,5002.19,6332.6274,0,6014.201,0,10578.021,0,9175.094,10120.21,
144,262.18025697767325,4.180367,,,,34,,,,,,,35887.684,43143.445,0,41281.883,0,73526.4,0,65220.016,72081.46,
145,308.18572338652945,4.191611,,,,,,,,,,,1248.4095,1284.6805,0,1575.276,0,1435.0009,0,1205.9099,1767.9625,
146,195.0653233472463,4.1923532,,,,,,,,,,,0,307.04327,0,180.44824,0,2710.0564,0,2350.0356,2809.105,
148,337.09175214099264,4.2207,,,,,,,,,,,0,0,1181.9205,0,1189.3167,818.40283,1403.5543,850.03064,705.85156,
149,453.2750526315313,4.2219276,,,,,,,,,,,0,0,0,0,0,3952.2678,0,2877.558,2681.5972,
150,256.1572594746085,4.2492223,,,,39,,,,,,,0,0,2935.592,0,2551.977,2470.1238,2936.9417,3055.1228,1885.7291,
151,325.22740094020077,4.2492223,,,,39,,,,,,,0,0,13212.018,0,11481.773,10641.977,13757.657,13315.31,8844.845,
153,445.18362972436927,4.2624335,,,,,,,,,,,0,0,0,0,0,3174.626,0,3251.1177,3237.6948,
154,423.2016152504227,4.2669277,,,,,,,,,,,0,0,0,0,0,1431.6045,0,1417.2632,1476.2325,
155,401.0504725594383,4.3040276,,,,,,,,,,,0,0,2884.6675,0,3701.9067,3366.29,2815.2607,3439.3108,2980.7134,
156,418.18737753934437,4.382089,,,,,,,,,,,0,0,10466.639,0,10168.19,2121.584,6769.0967,2033.9719,1601.886,
158,275.0915307179082,4.4279194,,,,27,17,[M+H]+,,3,159;160;158,274.08419,0,0,7175.4062,0,7743.663,12212.662,8244.836,11975.718,11979.944,
159,297.07339314795996,4.4279194,,,,27,17,[M+Na]+,,2,159;158,274.08419,0,0,9882.665,0,11511.151,13153.917,11120.073,12934.166,12931.127,
160,571.1575050061086,4.4279194,,,,27,17,[2M+Na]+,,2,160;158,274.08419,0,0,5830.4014,0,6287.375,9439.791,6974.289,9793.919,10503.798,
161,211.09651503601734,4.4414663,,,,,,,,,,,0,0,1803.9436,0,653.3301,0,2337.0044,0,147.6959,
162,443.1678301669374,4.472605,,,,,,,,,,,0,0,0,0,0,4023.4177,0,4118.6665,4106.542,
164,451.25928789862064,4.4861164,,,,,,,,,,,0,0,0,0,0,6424.0117,0,4955.6865,3922.8096,
165,405.1909413570972,4.5234165,,,,12,18,[M-H2O+H]+,,2,165;167,422.19421,0,0,0,0,0,5786.235,0,5684.0103,6009.696,
166,423.2015006003888,4.5234165,,,,12,18,[M+H]+,,2,166;167,422.19421,0,0,0,0,0,5738.11,0,5661.0415,5850.068,
167,445.1833788816575,4.5234165,,,,12,18,[M+Na]+,,3,166;165;167,422.19421,0,0,0,0,0,12729.121,0,12404.957,12878.427,
168,166.0862126127838,4.549089,,,,,,,,,,,0,0,714.9204,0,429.44058,0,789.2014,0,0,
170,319.1175364657951,4.5503163,,,,6,19,[M-H2O+H]+,,2,170;172,336.12095,0,0,0,0,0,7692.8574,0,6810.3643,7263.452,
171,337.128284625125,4.5503163,,,,6,19,[M+H]+,,2,171;172,336.12095,0,0,0,0,0,3700.6113,0,3283.9363,3728.7927,
172,359.11024531278446,4.5503163,,,,6,19,[M+Na]+,,3,171;170;172,336.12095,0,0,0,0,0,4223.005,0,3856.8354,4078.4893,
173,341.22221173207157,4.562475,,,,,,,,,,,0,0,975.8562,0,837.7705,1745.8922,563.61804,2620.3174,1646.9076,
174,409.1858501289171,4.563761,,,,,,,,,,,0,0,0,0,0,1507.4946,0,1447.9639,1621.9972,
175,458.23606490869884,4.5736556,,,,,,,,,,,0,0,2276.8813,0,1662.6227,1570.2946,3128.5276,1459.2566,1144.9746,
177,160.56084182078084,4.600578,,,,13,,,,,,,0,0,6862.6196,0,4378.5093,2127.0393,8343.263,2971.119,1894.3342,
178,322.12967620626335,4.600578,,,,13,,,,,,,0,0,5935.7905,0,3911.0544,1899.471,7537.0415,2735.0356,1865.6289,
179,390.19222639106306,4.600578,,,,13,,,,,,,0,0,125781.34,0,88663.68,48888.48,139008.17,65715.484,46860.992,
176,391.19548652464954,4.600578,,,,13,,,,,,,0,0,31239.068,0,20695.232,11585.345,36540.188,15319.104,10670.239,
181,370.20132019130693,4.6382556,,,,,,,,,,,646.3365,778.85406,0,751.0636,0,989.00745,0,886.6168,859.35297,
182,273.07577471653775,4.7117395,,,,,,,,,,,0,0,378.78625,0,0,1049.3279,287.0183,1397.3907,917.38574,
